i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,
149,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0347/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-17," 255,998.40 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
150,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0347/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-31," 213,029.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
151,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0347/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-03," 164,664.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
152,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0348/63-65,โครงการต่อเนื่อง,บริษัท เอเบิ้ล เมดิคอล จำกัด,2020-09-14," 18,270.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
153,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0349/63-65,โครงการต่อเนื่อง,บริษัท วี.แอนด์.วี กรุงเทพ จำกัด,2020-08-18," 30,600.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
154,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0349/63-65,โครงการต่อเนื่อง,บริษัท วี.แอนด์.วี กรุงเทพ จำกัด,2020-08-26," 60,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
155,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0349/63-65,โครงการต่อเนื่อง,บริษัท วี.แอนด์.วี กรุงเทพ จำกัด,2020-09-11," 191,200.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
156,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0350/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-20," 370,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
157,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0351/63-65,โครงการต่อเนื่อง,บริษัท ฟาร์ม่า อินโนวา จำกัด,2020-08-17," 79,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
158,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0351/63-65,โครงการต่อเนื่อง,บริษัท ฟาร์ม่า อินโนวา จำกัด,2020-09-14," 79,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
