i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
273, ใบสั่งซื้อ 1C199-01/2563, ค่าวัสดุ, บริษัท จอห์นสัน แอนด์ จอห์นสัน (ไทย) จำกัด,2020-07-20," 54,450.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
274, ใบสั่งซื้อ 1C70-03/2563, ค่าวัสดุ, บริษัท เรียลเมด จำกัด,2020-08-28," 149,140.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
275, ใบสั่งซื้อ 1C102-01/2563, ค่าวัสดุ, บริษัท ไอวีเอฟ เอนวายเมด จำกัด,2020-06-22," 166,920.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
276, ใบสั่งซื้อ 1C106-04/2563, ค่าวัสดุ, บริษัท บางกอกยูนิเทรด จำกัด,2020-08-28," 169,050.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
277, ใบสั่งซื้อ 1C143-06/2563, ค่าวัสดุ, บริษัท ทรานส์เมดิค (ประเทศไทย) จำกัด,2020-08-11," 85,750.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
278, ใบสั่งซื้อ 1C162-03/2563, ค่าวัสดุ, บริษัท จอห์นสัน แอนด์ จอห์นสัน (ไทย) จำกัด,2020-08-11," 284,620.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
279, ใบสั่งซื้อ 1C172-03/2563, ค่าวัสดุ, บริษัท รักไทย เทคโนโลยี จำกัด,2020-08-11," 270,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
280, ใบสั่งซื้อ 1C228-03/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-28," 58,871.40 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
281, ใบสั่งซื้อ 1C103-03/2563, ค่าวัสดุ, บริษัท เกท์ทิงเก (ไทยแลนด์) จำกัด,2020-08-28," 20,800.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
282, ใบสั่งซื้อ 1C282-03/2563, ค่าวัสดุ, บริษัท เอ็มพี เมดกรุ๊ป จำกัด,2020-09-03," 687,570.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
283, ใบสั่งซื้อ 1C286-01/2563, ค่าวัสดุ, บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),2020-07-17," 30,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
284, ใบสั่งซื้อ 1C317-02/2563, ค่าวัสดุ, บริษัท โนว่า เฮลธ์แคร์ จำกัด,2020-07-31," 14,721.06 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
